,Distrito,Electores,La Libertad Avanza,Juntos por el Cambio,Unión por la Patria
0,Buenos Aires,37.04%,30.38%,38.34%,43.82%
1,Capital Federal,7.16%,4.2%,12.14%,6.15%
2,Catamarca,0.96%,0.76%,0.67%,1.35%
3,Chaco,2.83%,2.54%,2.47%,3.35%
4,Chubut,1.34%,1.74%,1.14%,1.11%
5,Corrientes,2.64%,2.55%,3.18%,2.83%
6,Cordoba,8.66%,9.68%,7.7%,2.75%
7,Entre Rios,3.23%,2.48%,3.84%,3.6%
8,Formosa,1.36%,1.13%,1.03%,2.28%
9,Jujuy,1.67%,2.36%,1.5%,1.35%
10,La Pampa,0.85%,0.93%,0.86%,0.88%
11,La Rioja,0.86%,0.98%,0.58%,0.93%
12,Mendoza,4.22%,6.55%,4.39%,2.72%
13,Misiones,2.79%,3.91%,1.83%,2.71%
14,Neuquen,1.56%,2.19%,1.36%,1.22%
15,Rio Negro,1.68%,2.09%,1.26%,1.64%
16,Salta,3.08%,4.48%,1.66%,2.41%
17,San Juan,1.72%,2.02%,1.75%,1.89%
18,San Luis,1.19%,1.9%,0.99%,0.76%
19,Santa Cruz,0.75%,0.73%,0.42%,0.6%
20,Santa Fe,7.96%,9.08%,8.66%,5.99%
21,Santiago del Estero,2.29%,2.0%,0.83%,4.34%
22,Tierra del Fuego,0.42%,0.5%,0.31%,0.46%
23,Tucuman,3.73%,4.82%,3.09%,4.85%
