,Lista,Candidatos,Votos,perc_interna,percAbs,Name,Partido,Winner
4,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,2161679,100.0,24.52,Buenos Aires,LA LIBERTAD AVANZA,4
23,A- CELESTE Y BLANCA,MASSA-ROSSI,83099,94.95,38.2,Catamarca,UNION POR LA PATRIA,23
50,A- CELESTE Y BLANCA,MASSA-ROSSI,199837,92.4,32.01,Chaco,UNION POR LA PATRIA,50
77,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,124030,100.0,39.4,Chubut,LA LIBERTAD AVANZA,77
103,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,476010,58.53,28.28,Capital Federal,JUNTOS POR EL CAMBIO,103
130,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,181456,100.0,29.18,Corrientes,LA LIBERTAD AVANZA,130
153,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,688684,100.0,33.61,Cordoba,LA LIBERTAD AVANZA,153
179,A- CELESTE Y BLANCA,MASSA-ROSSI,180436,77.58,22.52,Entre Rios,UNION POR LA PATRIA,179
204,A- CELESTE Y BLANCA,MASSA-ROSSI,142965,96.86,45.15,Formosa,UNION POR LA PATRIA,204
231,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,168142,100.0,39.83,Jujuy,LA LIBERTAD AVANZA,231
258,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,66280,100.0,32.77,La Pampa,LA LIBERTAD AVANZA,258
285,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,69607,100.0,36.42,La Rioja,LA LIBERTAD AVANZA,285
312,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,466437,100.0,44.8,Mendoza,LA LIBERTAD AVANZA,312
339,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,277899,100.0,43.03,Misiones,LA LIBERTAD AVANZA,339
366,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,156147,100.0,39.04,Neuquen,LA LIBERTAD AVANZA,366
381,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,148437,100.0,37.29,Rio Negro,LA LIBERTAD AVANZA,381
408,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,318910,100.0,49.38,Salta,LA LIBERTAD AVANZA,408
435,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,143858,100.0,34.17,San Juan,LA LIBERTAD AVANZA,435
462,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,135471,100.0,47.85,San Luis,LA LIBERTAD AVANZA,462
489,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,52189,100.0,28.96,Santa Cruz,LA LIBERTAD AVANZA,489
516,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,646315,100.0,35.19,Santa Fe,LA LIBERTAD AVANZA,516
543,A- CELESTE Y BLANCA,MASSA-ROSSI,272293,97.05,51.71,Santiago del Estero,UNION POR LA PATRIA,543
570,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,35697,100.0,35.28,Tierra del Fuego,LA LIBERTAD AVANZA,570
597,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,342681,100.0,35.95,Tucuman,LA LIBERTAD AVANZA,597
