,Candidatos,Lista,Partido,Votos,Percentage
0,ALBARRACIN-PASTORE,A- COMPROMISO VECINAL,MOVIMIENTO DE ACCION VECINAL,42252,0.18
1,ARIAS-VERA,5E- LABORISTA,PRINCIPIOS Y VALORES,1749,0.01
2,AYERBE-RODRIGUEZ,B- PATRIA UNIDA,PROYECTO JOVEN,8684,0.04
3,BARBARO-PUCHETA,C- ANTICORRUPCIÓN,FRENTE LIBER.AR,5572,0.02
4,BARTOLINI-GOMEZ,4D- GENTE DE TRABAJO,PRINCIPIOS Y VALORES,206,0.0
5,BIONDINI-AVENDAÑO,A- PRIMERO LA PATRIA,FRENTE PATRIOTA FEDERAL,50842,0.21
6,BREGMAN-DEL CAÑO,A- UNIR Y FORTALECER LA IZQUIERDA,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,442085,1.87
7,BULLRICH-PETRI,B- LA FUERZA DEL CAMBIO,JUNTOS POR EL CAMBIO,4022466,16.98
8,CASTAÑEIRA-RUIZ,A- IZQUIERDA ANTICAPITALISTA,MOVIMIENTO AL SOCIALISMO,85628,0.36
9,CASTELLS-REINOSO,A- DIGNIDAD,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,25746,0.11
10,CÚNEO-BARRANCO,B- CONFEDERAL,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,56226,0.24
11,ESCOBAR-LEZAMA HID,A- AZUL Y ROJO,MOVIMIENTO LIBRES DEL SUR,154338,0.65
12,ETCHEPARE-LORENZO,A- DEMOS,FRENTE LIBER.AR,8281,0.03
13,GIARDINELLI-SOLERNOU,A- COALICION PAZ DEMOCRACIA SOBERANIA,PROYECTO JOVEN,11740,0.05
14,GRABOIS-ABAL MEDINA,B- JUSTA Y SOBERANA,UNION POR LA PATRIA,1390585,5.87
15,IBAÑEZ-IBARRA,C- TODEX,PROYECTO JOVEN,3446,0.01
16,MARTINEZ-SOUTO,2B- TRANSFORMAR,PRINCIPIOS Y VALORES,2540,0.01
17,MASSA-ROSSI,A- CELESTE Y BLANCA,UNION POR LA PATRIA,5070104,21.4
18,MILEI-VILLARRUEL,A- LIBERTAD POR SIEMPRE,LA LIBERTAD AVANZA,7116352,30.04
19,MORENO-FABRE,"1A- TIERRA, TECHO  Y TRABAJO",PRINCIPIOS Y VALORES,183135,0.77
20,OLIVER-SAN MARTIN,3C- TRES BANDERAS,PRINCIPIOS Y VALORES,263,0.0
21,PASSAMONTI-FERNANDEZ,A- APERTURA LIBERAL ARGENTINA,UNION DEL CENTRO DEMOCRATICO,11982,0.05
22,RAMAL-URONES,A- UNIDAD OBRERA,POLITICA OBRERA,62404,0.26
23,RODRIGUEZ LARRETA-MORALES,A- EL CAMBIO DE NUESTRAS VIDAS,JUNTOS POR EL CAMBIO,2675563,11.3
24,SCHIARETTI-RANDAZZO,A- HACEMOS,HACEMOS POR NUESTRO PAIS,907437,3.83
25,SOLANO-RIPOLL,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,186808,0.79
26,VASENA-LAGONEGRO,B- RECONQUISTA,FRENTE LIBER.AR,13109,0.06
